round1,round2,round3,round4,round5
645,1060,1540,2311,
646,1062,1541,2312,
647,1063,1542,,
648,1066,1543,,
649,1067,1550,,
650,1068,1552,,
651,1069,1556,,
652,1070,1558,,
653,1071,1559,,
654,1072,1560,,
655,1073,1561,,
656,1076,1562,,
657,1079,1563,,
658,1081,1564,,
659,1082,1565,,
660,1084,1566,,
661,1085,1567,,
662,1086,1568,,
663,1093,1569,,
664,1094,1570,,
665,1095,1571,,
666,1097,1572,,
667,1098,1573,,
668,1099,1576,,
669,1100,1577,,
670,1101,1581,,
671,1102,1584,,
672,1103,1596,,
673,1104,1600,,
674,1105,1601,,
675,1106,1602,,
676,1107,1605,,
677,1108,1606,,
678,1109,1607,,
679,1110,1608,,
680,1111,1609,,
681,1114,1610,,
682,1115,1611,,
683,1116,1613,,
684,1117,1615,,
685,1118,1616,,
686,1120,1635,,
687,1121,1636,,
688,1122,1637,,
689,1123,1639,,
690,1124,1646,,
691,1125,1647,,
692,1126,1648,,
693,1127,1653,,
694,1128,1658,,
695,1129,1663,,
696,1130,1673,,
697,1131,1674,,
698,1132,1676,,
699,1134,1684,,
700,1135,1687,,
701,1136,1688,,
702,1137,1691,,
703,1138,1692,,
704,1139,1694,,
705,1140,1695,,
706,1141,1700,,
707,1143,1701,,
708,1144,1703,,
709,1146,1705,,
710,1147,1708,,
711,1148,1717,,
712,1150,1719,,
713,1151,1723,,
714,1152,1724,,
715,1153,1725,,
716,1154,1727,,
717,1155,1728,,
718,1156,1729,,
719,1157,1734,,
720,1158,1735,,
721,1159,1736,,
722,1160,1742,,
723,1161,1747,,
724,1163,1748,,
725,1164,1749,,
726,1165,1759,,
727,1167,1760,,
728,1168,1761,,
729,1170,1762,,
730,1173,1763,,
731,1174,1765,,
732,1175,1766,,
733,1176,1767,,
734,1177,1769,,
735,1178,1773,,
736,1179,1778,,
737,1180,1779,,
738,1182,1780,,
739,1185,1781,,
740,1187,1782,,
741,1188,1784,,
742,1190,1785,,
743,1191,1786,,
744,1193,1789,,
745,1194,1790,,
746,1195,1791,,
747,1196,1792,,
748,1197,1793,,
749,1199,1794,,
750,1200,1795,,
751,1201,1797,,
752,1202,1798,,
753,1203,1799,,
754,1207,1800,,
755,1212,1801,,
756,1214,1806,,
757,1215,1807,,
758,1221,1809,,
759,1224,1810,,
760,1225,1811,,
761,1228,1812,,
762,1230,1819,,
763,1231,1820,,
764,1232,1821,,
765,1233,1823,,
766,1235,1829,,
767,1236,1833,,
768,1237,1834,,
769,1238,1835,,
770,1240,1839,,
771,1242,1840,,
772,1243,1841,,
773,1247,1842,,
774,1251,1846,,
775,1254,1850,,
776,1255,1851,,
777,1256,1854,,
778,1257,1860,,
779,1258,1861,,
780,1260,1868,,
781,1262,1869,,
782,1263,1872,,
783,1264,1874,,
784,1265,1875,,
785,1267,1876,,
786,1268,1877,,
787,1270,1880,,
788,1271,1887,,
789,1272,1888,,
790,1273,1889,,
791,1274,1897,,
792,1275,1898,,
793,1276,1904,,
794,1278,1907,,
795,1279,1912,,
796,1280,1913,,
797,1281,1914,,
798,1282,1915,,
799,1283,1916,,
800,1284,1917,,
801,1285,1920,,
802,1286,1921,,
803,1287,1922,,
804,1288,1923,,
805,1289,1924,,
806,1290,1925,,
807,1291,1926,,
808,1292,1927,,
809,1293,1928,,
810,1294,1929,,
811,1295,1935,,
812,1297,1937,,
813,1298,1938,,
814,1299,1941,,
815,1300,1942,,
816,1301,1943,,
817,1302,1945,,
818,1303,1946,,
819,1305,1947,,
820,1306,1948,,
821,1307,1949,,
822,1308,1950,,
823,1309,1951,,
824,1311,1954,,
825,1312,1955,,
826,1313,1956,,
827,1315,1957,,
828,1317,1958,,
829,1318,1959,,
830,1319,1962,,
831,1322,1965,,
832,1323,1966,,
833,1324,1967,,
834,1325,1968,,
835,1327,1969,,
836,1328,1973,,
837,1329,1978,,
838,1330,1979,,
839,1331,1980,,
840,1334,1981,,
841,1335,1983,,
842,1336,1984,,
843,1337,1985,,
844,1339,1986,,
845,1340,1987,,
846,1343,1988,,
847,1344,1989,,
848,1350,1991,,
849,1352,1992,,
850,1354,1994,,
851,1356,2006,,
852,1358,2009,,
853,1359,2010,,
854,1360,2015,,
855,1361,2016,,
856,1364,2020,,
857,1365,2021,,
858,1366,2022,,
859,1368,2023,,
860,1371,2029,,
861,1377,2035,,
862,1382,2036,,
863,1383,2037,,
864,1387,2040,,
865,1388,2041,,
866,1391,2044,,
867,1394,2045,,
868,1395,2046,,
869,1396,2047,,
870,1397,2048,,
871,1400,2049,,
872,1402,2050,,
